Iteration: 0 (numBlocks: 16, numThreads: 128), Time elapsed: 0.555640637s
Iteration: 1 (numBlocks: 16, numThreads: 128), Time elapsed: 0.549795805s
Iteration: 2 (numBlocks: 16, numThreads: 128), Time elapsed: 0.547658343s
Iteration: 3 (numBlocks: 16, numThreads: 128), Time elapsed: 0.563199101s
Iteration: 4 (numBlocks: 32, numThreads: 64), Time elapsed: 0.4298591s
Iteration: 5 (numBlocks: 32, numThreads: 64), Time elapsed: 0.407424082s
Iteration: 6 (numBlocks: 32, numThreads: 64), Time elapsed: 0.403518758s
Iteration: 7 (numBlocks: 32, numThreads: 64), Time elapsed: 0.399476666s
Iteration: 8 (numBlocks: 64, numThreads: 32), Time elapsed: 0.360459938s
Iteration: 9 (numBlocks: 64, numThreads: 32), Time elapsed: 0.362807876s
Iteration: 10 (numBlocks: 64, numThreads: 32), Time elapsed: 0.360319994s
Iteration: 11 (numBlocks: 64, numThreads: 32), Time elapsed: 0.350997404s
Iteration: 12 (numBlocks: 128, numThreads: 16), Time elapsed: 0.294573761s
Iteration: 13 (numBlocks: 128, numThreads: 16), Time elapsed: 0.289589181s
Iteration: 14 (numBlocks: 128, numThreads: 16), Time elapsed: 0.289934963s
Iteration: 15 (numBlocks: 128, numThreads: 16), Time elapsed: 0.291003007s
Iteration: 16 (numBlocks: 256, numThreads: 8), Time elapsed: 0.37183574s
Iteration: 17 (numBlocks: 256, numThreads: 8), Time elapsed: 0.387758747s
Iteration: 18 (numBlocks: 256, numThreads: 8), Time elapsed: 0.375807099s
Iteration: 19 (numBlocks: 256, numThreads: 8), Time elapsed: 0.377383481s
