Iteration: 0 (numBlocks: 4096, numThreads: 64), Time elapsed: 13.000629507s
Iteration: 1 (numBlocks: 4096, numThreads: 64), Time elapsed: 13.007370294s
Iteration: 2 (numBlocks: 4096, numThreads: 64), Time elapsed: 13.004552521s
Iteration: 3 (numBlocks: 4096, numThreads: 64), Time elapsed: 12.936248932s
Iteration: 4 (numBlocks: 4096, numThreads: 64), Time elapsed: 12.872867795s
Iteration: 5 (numBlocks: 2048, numThreads: 128), Time elapsed: 8.143839553s
Iteration: 6 (numBlocks: 2048, numThreads: 128), Time elapsed: 8.130658654s
Iteration: 7 (numBlocks: 2048, numThreads: 128), Time elapsed: 8.145986837s
Iteration: 8 (numBlocks: 2048, numThreads: 128), Time elapsed: 8.115074988s
Iteration: 9 (numBlocks: 2048, numThreads: 128), Time elapsed: 8.138332351s
Iteration: 10 (numBlocks: 1024, numThreads: 256), Time elapsed: 8.077582747s
Iteration: 11 (numBlocks: 1024, numThreads: 256), Time elapsed: 8.069532502s
Iteration: 12 (numBlocks: 1024, numThreads: 256), Time elapsed: 8.078563653s
Iteration: 13 (numBlocks: 1024, numThreads: 256), Time elapsed: 8.058154597s
Iteration: 14 (numBlocks: 1024, numThreads: 256), Time elapsed: 8.053805151s
Iteration: 15 (numBlocks: 512, numThreads: 512), Time elapsed: 8.438726928s
Iteration: 16 (numBlocks: 512, numThreads: 512), Time elapsed: 8.419728402s
Iteration: 17 (numBlocks: 512, numThreads: 512), Time elapsed: 8.39752819s
Iteration: 18 (numBlocks: 512, numThreads: 512), Time elapsed: 8.436044802s
Iteration: 19 (numBlocks: 512, numThreads: 512), Time elapsed: 8.380610723s
Iteration: 20 (numBlocks: 256, numThreads: 1024), Time elapsed: 12.361892437s
Iteration: 21 (numBlocks: 256, numThreads: 1024), Time elapsed: 12.323774806s
Iteration: 22 (numBlocks: 256, numThreads: 1024), Time elapsed: 12.297207685s
Iteration: 23 (numBlocks: 256, numThreads: 1024), Time elapsed: 12.351845535s
Iteration: 24 (numBlocks: 256, numThreads: 1024), Time elapsed: 12.370305476s
